username,likes,comments,text,hashtags,date,day_of_week,hour,word_count,hashtag_count
editorarocco,1029,35,"a investigação do caso amélia moura vai revelar uma teia de hipocrisia, corrupção e intolerância. 💧 em “boas meninas se afogam em silêncio”, o corpo de uma jovem é encontrado com marcas de estrangulamento em uma região afastada de curitiba. aos olhos de todos, amélia moura era uma boa menina ― filha de um importante deputado, primogênita de uma família tradicional e noiva de um empresário. mas com a atenção da mídia e da sociedade se voltando para o caso, a delegada ana cervinski e o policial júlio bragatti estão determinados a descobrir o que aconteceu. ao mergulhar fundo nos segredos dos envolvidos e dos suspeitos, os investigadores vão entender como uma teia de crimes se conecta à hipocrisia de uma sociedade intolerante. 📖 “boas meninas se afogam em silêncio” é um thriller policial com cenário brasileiro que escancara as contradições mais profundas da sociedade. esse mistério vai te deixar sem fôlego até o final. garanta o seu agora na pré-venda!",romancepolicial editorarocco,2024-03-11,Monday,22,163,2
editorarocco,3502,16,o oscar 2024 entregou looks incríveis e eu não poderia perder a oportunidade de dar aquele match com as minhas capinhas! vem conferir 📚🏆,livros editorarocco oscar     looksoscar    ,2024-03-11,Monday,14,28,4
editorarocco,1158,4,hoje é noite do oscar e separamos alguns dos nossos livros que têm tudo a ver com os temas dos filmes concorrentes desse ano! quem vocês acham que vai levar o prêmio de melhor filme?,oscar cinema filme livros literatura editorarocco,2024-03-10,Sunday,21,41,6
editorarocco,3513,38,esse é o verdadeiro lobo! um uivo de feliz aniversário para um dos maiores professores que a escola de magia e bruxaria de hogwarts já viu: remo lupin! 🐺🎂,remolupin harrypotter editorarocco,2024-03-10,Sunday,14,32,3
editorarocco,804,18,nossa rainha dos vampiros é um sucesso nos livros e nas telonas. reuni algumas adaptações dos livros de quais deles você já assistiu? onde assistir os filmes e séries: ▪️ a hora das bruxas - @primevideobr ▪️ entrevista com o vampiro (filme) - @primevideobr | @appletv | @youtubebrasil ▪️ entrevista com o vampiro (série) - @amcplus ▪️ a rainha dos condenados - @primevideobr | @appletv ▪️ o jovem messias - @primevideobr | @telecine,annerice,2024-03-09,Saturday,18,74,1
editorarocco,298,4,"com muitas dívidas de tratamentos de um câncer, a família boyd encontra a saída em uma mensagem deixada pela filha antes de morrer. uma história para encontrar a felicidade mesmo após o luto.",editorarocco amissaodeserfeliz,2024-03-09,Saturday,12,35,2
editorarocco,1202,12,"nesse dia internacional da mulher, separamos 8 livros para mulheres indomesticáveis. confira!",livros literatura diainternacionaldamulher dicasdelivros,2024-03-08,Friday,17,16,4
editorarocco,375,8,"essa e outras palavras parecidas já foram usadas antes na tentativa de diminuir as mulheres. eu sei. você sabe. dragão. diaba. megera. bruaca. rapariga. enxerida. cortesã. há séculos, e em todos os lugares do mundo, vários termos foram usados para nos definir e nos condenar. hoje, eles nos alimentam, nos impulsionam, nos incendeiam. e para fechar esse pacto de resistência feminina, estamos lançando fúrias, um livro que reúne 15 contos de autoras premiadas e best-sellers, que criaram uma irresistível e deliciosa coletânea de contos feministas para o século xxi. entre elas, nomes como margaret atwood, emma donoghue e ali smith. deixe que digam, que pensem, que falem. feliz dia internacional da mulher! ótima leitura!",livros furias mulhres diainternacionaldamulher editorarocco,2024-03-08,Friday,12,119,5
editorarocco,321,19,"nessa brilhante seleção de ensaios, margaret atwood busca respostas para questões incendiárias como: 🔥por que as pessoas em todos os lugares, em todas as culturas, contam histórias? 🔥quanto de si você pode doar sem desaparecer? 🔥como podemos continuar vivendo no nosso planeta? 🔥 é verdade? e é justo? 🔥o que zumbis têm a ver com autoritarismo? em mais de cinquenta textos escritos no período entre 2004 e 2021, a autora de o conto da aia apresenta seu intelecto prodigioso e humor travesso para o mundo e nos relata o que encontra. o período de altos e baixos abordado nesta coleção trouxe uma conclusão para o fim da história, uma crise financeira, a ascensão de donald trump e uma pandemia. de dívidas à tecnologia, da crise climática à liberdade, de quando dar conselhos aos jovens (resposta: apenas quando forem solicitados) a como definir a granola, não existe melhor autora para questionar os variados mistérios da existência humana. garanta na pré-venda! tradutor: maira parula",lançamentos questoesincendiarias livros editorarocco,2024-03-07,Thursday,21,166,4
editorarocco,1618,49,esse ou aquele? foi bem difícil escolher um! pra qual lado você iria?,editorarocco brincadeira esseouaquele,2024-03-07,Thursday,14,16,3
